summary,type
"The mvn deploydeploy-file command gives ""Parent doesnt exist"" in a fresh install Im trying to follow the docs at this page.
   httpmaven.apache.orgarchivaguidesgetting-startedmaven-configuration.html

Im setting security credentials and issuing this command with a pom.xml to include wagon-webdav
    mvn deploydeploy-file -DgroupIdcom.orbeon -DartifactIdblah -Dversion.. -Dpackagingjar -Dfilelibblah.jar -DrepositoryIdrdp-releases -Durlhttpjerboa.intsec.amnesty.orgarchivarepositoryrdp-releases

I get this error message
INFO Error deploying artifact Failed to transfer file httpjerboa.intsec.a
mnesty.orgarchivarepositoryrdp-releasescomorbeonblah..blah-.
..jar. Return code is 

An ethereal trace shows this request
   PUT archivarepositoryrdp-releasescomorbeonblah..blah-...jar HTTP.

And this response..

html
headtitleError  Conflicttitlehead
body
pbError  Conflictbp
pResource in error a href""httpjerboa.intsec.amnesty.orgarchivarepositorycomorbeonblah..blah-...jarcomorbeonblah..blah-...jar""
httpjerboa.intsec.amnesty.orgarchivarepositorycomorbeonblah..blah-...jarcomorbeonblah..blah-...jarap
hr pException detailsp
preit.could.webdav.DAVException Parent doesnt exist
	at it.could.webdav.DAVResource.writeDAVResource.java
	at it.could.webdav.methods.PUT.processPUT.java
	at it.could.webdav.DAVProcessor.processDAVProcessor.java
	at org.codehaus.plexus.webdav.simple.SimpleDavServerComponent.processSimpleDavServerComponent.java
	at org.apache.maven.archiva.web.repository.ProxiedDavServer.processProxiedDavServer.java
	at org.codehaus.plexus.webdav.servlet.multiplexed.MultiplexedWebDavServlet.serviceMultiplexedWebDavServlet.java
	at javax.servlet.http.HttpServlet.serviceHttpServlet.java
	at org.mortbay.jetty.servlet.ServletHolder.handleServletHolder.java
	at org.mortbay.jetty.servlet.WebApplicationHandler$CachedChain.doFilterWebApplicationHandler.java
	at com.opensymphony.webwork.dispatcher.FilterDispatcher.doFilterFilterDispatcher.java
	at org.mortbay.jetty.servlet.WebApplicationHandler$CachedChain.doFilterWebApplicationHandler.java
	at com.opensymphony.module.sitemesh.filter.PageFilter.doFilterPageFilter.java
	at org.mortbay.jetty.servlet.WebApplicationHandler$CachedChain.doFilterWebApplicationHandler.java
	at com.opensymphony.webwork.dispatcher.ActionContextCleanUp.doFilterActionContextCleanUp.java
	at org.mortbay.jetty.servlet.WebApplicationHandler$CachedChain.doFilterWebApplicationHandler.java
	at org.mortbay.jetty.servlet.WebApplicationHandler.dispatchWebApplicationHandler.java
	at org.mortbay.jetty.servlet.ServletHandler.handleServletHandler.java
	at org.mortbay.http.HttpContext.handleHttpContext.java
	at org.mortbay.jetty.servlet.WebApplicationContext.handleWebApplicationContext.java
	at org.mortbay.http.HttpContext.handleHttpContext.java
	at org.mortbay.http.HttpServer.serviceHttpServer.java
	at org.mortbay.http.HttpConnection.serviceHttpConnection.java
	at org.mortbay.http.HttpConnection.handleNextHttpConnection.java
	at org.mortbay.http.HttpConnection.handleHttpConnection.java
	at org.mortbay.http.SocketListener.handleConnectionSocketListener.java
	at org.mortbay.util.ThreadedServer.handleThreadedServer.java
	at org.mortbay.util.ThreadPool$PoolThread.runThreadPool.java
pre
body
html

Note that request and response are very different..
  archivarepositoryrdp-releasescomorbeonblah..blah-...jar
  archivarepositorycomorbeonblah..blah-...jarcomorbeonblah..blah-...jar

Has anyone got this working I cant imagine how it could work, at least in the release I have.

",Bug
Find artifact does not work. Finding an artifact always shows the No results found message even though the artifact that is being looked for is in the repository.,Bug
"managed and remote repositories with same name causes problems I created both a managed and remote repository entry with the name central -- the intent was for one to proxy the other.  The administrative interfaces did not gripe about using duplicate names but the proxy did not seem to work.  In the logs I found the following information which looked suspect

 SocketListener- DEBUG org.apache.maven.archiva.proxy.RepositoryProxyConnectorsdefault  - Attempting connector ProxyConnector
  sourceArchivaRepositorycentral,fileuhomeproj.reposcentral
  targetArchivaRepositorycentral,fileuhomeproj.reposcentral
  proxyIdmpare
  policyreleasesonce
  policychecksumfix
  policysnapshotsdisabled
  policycache-failuresignored


When I requested that the remote central repository be deleted, the managed repository entry was deleted instead.  After I removed all central repositories I created a managed repository named central and a remote repository named centralExt and the proxying seemed to work as expected.",Bug
"removing a ""remote repository"" should not present the page about handling content eg. delete the default java.net repository when starting a new installation.

Expected result a confirmation page yesno only about whether to remove it
Actual result the normal managed repository page about deleting the repository definition, contents, or going back",Bug
"Create missing tests for repository purge Comments from MRM-

A general thought here too, for later it might be worth reviewing the exceptions that can occur in Purge and see if we can recover better from each rather than bubbling it

Tests

     I think you can remove many of the components from the test XML files where the default suffice just keep the registry and jdo factory
     the tests have a lot of bolierplate that can probably be turned into methods that generate test data

Missing tests

     no tests for the consumer or the Released Snapshots purge
     days old test is only testing by file age - it should also test the metadata-driven snapshots

A general thought for Archiva in the long term, too... setting up the database to test this was probably a pain. We should have stub implementations of the indexer and daos to avoid it.",Improvement
"Editing a network proxy creates a new network proxy when saving modifications - Create a network proxy
- Go and edit that proxy  after clicking on ""Save Network Proxy"", youll see that a new network proxy has been created, with an empty identifier which makes it impossible to delete afterwards",Bug
"Unable to disable Scannable on a Local Repository. As reported in archiva-users mailing list

Barrie Treloar wrote
 Im using Archiva . Alpha ,

 When I edit a repository definition and disable ""Scannable"" and save
 my changes, the changes appear to be ignored on the Repositories
 screen.

",Bug
"when browsing, groups list incorrect sub-groups eg. go to group ant, and see more groups are listed at the top eg, ant again, but also ant-contrib, etc, even though you are inside a group that does not have sub groups.
",Bug
"Distributions should have apache in the name and unpack to versioned directories The source distribution should be named archiva-.-alpha--src.zip and unpack to archiva-.-alpha--src.  

Based on other discussions both the binary and source distributions should be renamed and unpack to apache-archiva-.",Improvement
Test failure in MavenProjectInfoReportsPluginDependencyGraphTest in archiva-dependency-graph I commented the assert... in testResolvedDepsToNodes to be able to release .-beta-.,Bug
"intermittent test failures on proxy testGetDefaultLayoutAlreadyPresentPolicyIgnoredorg.apache.maven.archiva.proxy.ManagedDefaultTransferTest  Time elapsed . sec   FAILURE!
junit.framework.AssertionFailedError Check file timestamp is that of original managed file expected within range lo hi but was
        at junit.framework.Assert.failAssert.java
        at org.apache.maven.archiva.proxy.ManagedDefaultTransferTest.testGetDefaultLayoutAlreadyPresentPolicyIgnoredManagedDefaultTransferTest.java
",Bug
"Unable to view repository contents with IE Attempting to visit a url such as httprepo.example.comarchivarepositoryreleasesorgapachestruts results in a dialog box

File Download - Security Warning
Do you want to save this file
Name examples 
Type Unknown File Type 
From repo.mycompany.com

The file in question is a directory.  you cant see the repo contents.
",Bug
Incomplete deployment descriptor The web.xml deployment descriptor is missing resource reference entries.,Bug
"separate configuration of managed repositories from remote repositories the fancy footwork to make a managed repository use all the same configuration screens as a remote repository is causing both subtle bugs particularly in the URL handling, and a confusing user experience settings appearing that are irrelevant to remote repositories in the edit form.

 separate the formsactions or at least exclude the fields that are not relevant when editing the remote repos
 treat the URL remote as a URL and the location managed as a path. Dont munge anything.
 I think we should consider separating them into different lists in the configuration again.

",Bug
itd be nice to have a wizard interface to set up some common settings for example - setting up guest access to all repositories could be a simple yesno instead of having to go in and do configuration on a new set up.,Improvement
"Cannot edit some managed repositories I have  managed repositories but cannot edit  of them.

I can click on their ""Edit Repository"" link but I come back directly to the ""Administration - Repositories"" page. 

Even if In the log I get 
INFO  com.opensymphony.xwork.ActionconfigureRepositoryAction  - .edit

",Bug
"admin editing of proxy connectors fails in multiple instances Ive seen the following
- edit first one and save order changes
- edit new first one and save end up with the same connector for both, eg the blacklist is duplicated
- in other circumstances, Id seen editing the proxy connector produce a second one
- removing the corresponding remote repository doesnt remove the associated network proxy.

I believe this entire set of actions needs a review.",Bug
"""Scanned"" is always set to true even if unchecked in the Edit Repository page Steps

 Log in as admin.
 In the left menu, under Administration, click Repositories.
 Edit a repository.
 Uncheck ""Scanned"".
 Click Update Repository.

Notice that ""Scanned"" is still set to ""True"" after saving.

This is also true for ""Releases Included"" see MRM-.",Bug
"invalid cache policy CachedFailuresPolicy has a log typo when the requested policy is not supported
""Unknown checksum policyCode""

attached Patch to be applied on archiva-policies.",Bug
"verify thread safety of Configuration object Deng discovered a thread-safety bug in the re-initialisation of the Configuration object when saving and consequently re-initialising. While that has been fixed, and DefaultArchivaConfiguration is now thread safe, it does pass out the shared Configuration object. We need to audit places that the object may be modified in a way that is not thread safe if it is being modified, it should not be used by another thread until the save method has completed and those threads have called get again - perhaps anything that intends to modify it should get back a copy of the configuration object instead.",Bug
"Dont queue a request to scan a repository that is currently being scanned If a repository is currently being scanned when the Scan Repository Now button is clicked, dont queue another request to scan it.

Example

INFO   | jvm     |   |  SocketListener- INFO com.opensymphony.xwork.ActionschedulerAction - ActionMessage Your request to have repository central be indexed has been queued.
INFO   | jvm     |   |  pool--thread- INFO org.codehaus.plexus.taskqueue.execution.TaskExecutorrepository-scanning - Executing task from queue with job name repository-jobcentral
INFO   | jvm     |   |  pool--thread- INFO org.apache.maven.archiva.repository.scanner.RepositoryScannerdefault - Walk Started central fileoptcentral-repository

INFO   | jvm     |   |  SocketListener- INFO com.opensymphony.xwork.ActionschedulerAction - ActionMessage Your request to have repository central be indexed has been queued.",Improvement
broken images in the download box on the artifact page these dont appear to work at all in the latest version - it isnt noticeable in firefox but in ie you get the big white square with an X in it.,Bug
"Wrong directory name for snapshots repo in default config The default configuration includes two repositories  internal and snapshots.

Both are configured to use a single directory named internal.

Archiva Managed Snapshot Repository
Identifier 	snapshots
Name 	Archiva Managed Snapshot Repository
----------  Directory 	C${appserver.home}repositoriesinternal    -------------
WebDAV URL 	httplocalhostarchivarepositorysnapshots
Type 	Maven .x Repository

Instead, the snapshots repo should use a directory called snapshots.",Bug
"If webdav URL lacks a trailing , navigating to all links in the listing return . If you go to
httplocalhostarchivarepositoryreleases

then click a link, you get .

But if you go to
httplocalhostarchivarepositoryreleases

everything works as expected.",Bug
"WebDAV functionality not working for Internet Explorer  Windows Network Places I am using archiva built from source r. I set up a managed repository and several proxied repositories. 

Browsing the WebDAV url from Firefox works just fine, but it appears the IE doesnt recognize the url - it asks me if I want to ""save this file"", and its type is unknown. 

When I try to set up a Network Place using the url, it shows me the top level of the repository, but if I try to browse to any folder, I get the error ""Documents in this folder are not available. The folder may have been moved or deleted, or network problems may be preventing a connection to the server. There is a problem with the web server. Please try again later or contact the server administrator."" 

I notice that the url its trying to browse to is incorrect. The root URL of the repository is 

httphostarchivarepositoryinternal

but when I double-click on, say, commons-collections, it tries to browse to

httprepository.muze.comarchivarepositorycommons-collections",Bug
"Metadata merging doesnt work. When dealing with metadata.xml files and proxying the merging of metadata is not performed correctly.
Often ending up with a metadata.xml file with no versions specified.

Tasks	
 Re-enabled metadata tests in the archiva-proxy module.	
 Fix the proxy code and possibly the tests to ensure metadata.xml files are merged correctly.	
 Create tests for  managed to multiple remote repos all with metadata.xml for the same groupIdartifactId	
 Create tests for versionless and versioned metadata.xml files.

Note Consider using the VersionComparator to obtain a unique list of sorted by version",Bug
"the NOTICE file is overzealous in declaring dependencies we only need to say, for example, software developed by the ASF once, and all the unnamed ones dont need to be there.

This might require fixes in the remote reosurces plugin and an update.",Improvement
"prune the distributed dependencies a large number of unneeded dependencies are distributed with Archiva or if they are needed, we might want to review why.

For example ant-optional probably for jsp compiler, commons-logging impl  slfj  logj, xerces, jtidy, jdom, domj, commons-jxpath, jaxen, jta we have geronimo-jat already, classworlds we have plexus-classworlds already, backport we require JDK , no need for this.

Im also uncertain if all the maven libraries are still needed. ",Improvement
"paginate report pages - artifact dependencies
- artifact used by",Improvement
"maven-upload-bundle doesnt generate metadata xml files Putting in MRM for want of anywhere else to record this.

When handling Maven bundles, the maven metadata xmls are not generated nor updated.",Bug
"Proxy Connectors are unable to download artifacts with alpha numerical version numbers Archiva is unable to download this artifact

dependency
    groupIdch.ethz.ganymedgroupId
    artifactIdganymed-sshartifactId
    versionbuildversion
dependency

although it is in the central repository. I can download the artifact if a switch the central mirror of, just downloading the artifact directly over maven. I didnt had any problems with all the other artifacts from the central repository.

I assume that there is a problem with alpha numerical version numbers. But its just a guess.",Bug
"Archiva cant connect to remote repositories if they are behind a network proxy - Define your network proxy with the valid credentials
- Update the proxy connector configuration  internal , central  to use this network proxy and not a direct connection
- Try to access a JAR or a POM that is on the central repository and not already on the internal one the download fails

The problem comes from DefaultRepositoryProxyConnectorsinitConnectorsAndNetworkProxies, where the proxy id of the proxy config is not copied into the newly created ProxyConnector object.",Bug
"upgrade to last webworkxwork Due to security hole httpwiki.opensymphony.comdisplayWW..PressRelease.
This upgrade is really needed.",Bug
"repository failures can present as a  from proxy if multiple repositories are a proxy source and it is not found on some, and an error occurs on one or more - the end result is a ""not found"", where there should be some indication of error in case the artifact may exist on the repository with the error.",Improvement
"error  clicking serach result for commons-dbcp  search for commons-dbcp
 click on the first result which should be commons-dbcp . URL httplocalhostbrowsecommons-dbcpcommons-dbcp.

Error is
org.apache.maven.archiva.database.ObjectNotFoundException Unable to find Database Object commons-dbcpcommons-dbcp. of type org.apache.maven.archiva.model.ArchivaProjectModel using no fetch-group
	at org.apache.maven.archiva.database.jdo.JdoAccess.getObjectByIdJdoAccess.java
	at org.apache.maven.archiva.database.jdo.JdoProjectModelDAO.getProjectModelJdoProjectModelDAO.java
	at org.apache.maven.archiva.database.browsing.DefaultRepositoryBrowsing.selectVersionDefaultRepositoryBrowsing.java
	at org.apache.maven.archiva.web.action.ShowArtifactAction.artifactShowArtifactAction.java

Nested
Caused by javax.jdo.JDOObjectNotFoundException No such database row
FailedObjectcommons-dbcpcommons-dbcp.
	at org.jpox.store.rdbms.request.FetchRequest.executeFetchRequest.java
	at org.jpox.store.rdbms.table.ClassTable.fetchClassTable.java
	at org.jpox.store.StoreManager.fetchStoreManager.java
	at org.jpox.state.StateManagerImpl.loadFieldsInFetchPlanStateManagerImpl.java
	at org.jpox.state.StateManagerImpl.validateStateManagerImpl.java
	at org.jpox.AbstractPersistenceManager.getObjectByIdAbstractPersistenceManager.java
	at org.jpox.AbstractPersistenceManager.getObjectByIdAbstractPersistenceManager.java
	at org.jpox.AbstractPersistenceManager.getObjectByIdAbstractPersistenceManager.java
	at org.apache.maven.archiva.database.jdo.JdoAccess.getObjectByIdJdoAccess.java

Note that the initial scan was still in progress - up to walk step  in commons-jelly so I believe dbcp was done.

Im using a mostly-complete copy of central.

",Bug
Source distribution is missing license and notice files The Archiva source distribution is missing license and notice files.  They must be included.,Bug
"search functions should show a notification message if an initial scan is still in progress currently, on first run against a new repo, it might take some time for the relevant index or database to be up to date. Any functions that rely on them should be aware that the data is not yet complete and be able to show an appropriate warning instead of the misleading ""no results found"".",Improvement
"Load Testing When asking for pages that require the effective-pom in high load, app becomes unresponsive. When having a processtool such as siege hit the artifact browsing pages on archiva in rapid succession, the archiva application becomes unresponsive.
Possible reason when the first request hits to get the effective pom, the build of that effective pom starts, but before it has a chance to finish, another request arrives to do the same thing, and the process starts again, resources and such get eaten up fast in that scenario.
Possible solution	
HTMLTextReader.listItemPrefixLock the effective pom resolution on a per groupIdartifactIdversion level.	
HTMLTextReader.listItemPrefixCache the effective pom on disk.			
HTMLTextReader.listItemPrefixoption  save the effective pom to disk in the groupIdartifactIdversion location using the extension "".effective.pom""		
HTMLTextReader.listItemPrefixoption  save the effective pom to a long lived e",Bug
