summary,type
allow configuration of storytimeoutinsecs via usingembedder annotation currently story timeout is configurable via embeddercontrols as per other embeddercontrols properties the storytimeoutinsecs should be configurable via usingembedder annotation ,Improvement
add story timing info to crossreference add timing fields ' started ' and ' duration ' milliseconds ,Improvement
provide property based embeddercontrols an extension of embeddercontrols that allows values to be set via system properties ,Improvement
 beforescenario not called per ' examples ' permutation could beforescenario be enhanced beforescenario before examples permutations too or could we have a new annotation beforeexamples there is some feeling that this used to work in jb refer bug zip attached paul on behalf of bill,Bug
screenshot should be taken on every example failure if a scenario has an example table assume a scenario has a example table with examples lets say the scenario fails for nd and rd example set the screenshot is taken only after the execution for the last example set and in the above case its of no use as the scenario passed with the last example set the screenshot should be taken everytime the scenario failes with a particular example set ,Improvement
pending step method generation fails with and steps when i run over a scenario with ' and ' steps pending method generation fails the same scenario without the ' and ' steps generates methods without any problem and is jolly useful the failure happens in and in snapshot commit c f the failure results from an npe jbehave knows the story has failed but the run times out and then exits with ' pass ' from the junit pov is that the expected behaviour btw failing scenario scenario when i log in with good credentials after having been redirected to the login page from my intended page i am redirected to my intended page given i am not logged in and i have been redirected from my intended page to the login page when i log in with good credentials then i am redirected to my intended page and i am logged in console output scenario when i log in with good credentials after having been redirected to the login page from my intended page i am redirected to my intended page given i am not logged in pending and i have been redirected from my intended page to the login page pending when i log in with good credentials pending then i am redirected to my intended page pending and i am logged in pending failed to run story package name here login i can log in with correct credentials story java lang nullpointerexception at org jbehave core steps pendingstepmethodgenerator stepstartswithword pendingstepmethodgenerator java at org jbehave core steps pendingstepmethodgenerator findsteptype pendingstepmethodgenerator java at org jbehave core steps pendingstepmethodgenerator generatemethod pendingstepmethodgenerator java at org jbehave core embedder storyrunner generatependingstepmethods storyrunner java at org jbehave core embedder storyrunner runscenariosteps storyrunner java at org jbehave core embedder storyrunner run storyrunner java at org jbehave core embedder storyrunner run storyrunner java at org jbehave core embedder embedder enqueuedstory call embedder java at org jbehave core embedder embedder enqueuedstory call embedder java at java util concurrent futuretask sync innerrun futuretask java at java util concurrent futuretask run futuretask java at java util concurrent threadpoolexecutor worker runtask threadpoolexecutor java at java util concurrent threadpoolexecutor worker run threadpoolexecutor java at java lang thread run thread java story package name here login i can log in with correct credentials story has timed out after seconds generating reports view to ' users jonathanwoods documents workspaces main mobile target jbehave ' using formats ' stats console txt html xml ' and view properties ' decoratenonhtml true ' reports view generated with stories of which pending containing scenarios of which failed and pending ,Bug
jbehave i n some german translations in keyword de properties are wrong i 'm using jbehave for the first time in a project for a german customer and i would of course like to write the user stories in german i had a short look into the keyword de properties and would like to make some corrections suggestions scenario scenario should be scenario szenario spelled with ' z ' instead of ' c ' givenstories vorgegebenegeschichten should be givenstories gegebenestories instead of vorgegebene simply use gegebene and i would not even translate story stories because it 's already a germanized term meaning it has been accepted in the german language especially within the business community given vorgegeben should be given gegeben as mentioned before when wann should be when wenn wann is simply wrong in this case even though a correct translation of the word when but only if it is related to time a temporal term you have to use the conditional wenn which you could also translate into english as if notperformed nicht erf u dcllt should be notperformed nicht ausgef u dchrt to perform is ausf hren in german hence nicht ausgef hrt would be the correct translation erf llen erf llt actually means fullfilled that 's it i attached the corrected properties file would be nice if you or someone from the jbehave team could include it in the next release if possible i know this will break compatibility with older releases but since of the main keywords when is translated completely wrong i can hardly imagine that someone used the german translations yet actually it should even be replaced patched in older releases ,Bug
ca n't run stories as embeddables from test directory using maven plugin when i tried to use it the plugin could n't find my java file i suspect that this is because the classloader obtained under maven with a story that uses new loadfromclasspath this getclass getclassloader as a storyloader does n't include the test class directory even though the running class is in the test class directory the same code works correctly under the eclipse debugger including the test class directory in the classpath everything else works correctly in maven unit tests etc the configuration configuration sourcedirectory project build sourcedirectory sourcedirectory testsourcedirectory project build testsourcedirectory testsourcedirectory includes include processorteststory java include includes metafilters metafilter author metafilter metafilter skip metafilter metafilters systemproperties property name java awt headless name value true value property systemproperties ignorefailureinstories true ignorefailureinstories ignorefailureinview false ignorefailureinview configuration ed,Bug
 composite step is executing successfully when of its sub steps is pending we believe that these should behave in the same manner as other pending steps the pending step should be marked in the output and subsequent steps should not be performed ,Bug
generic parameter converter for enum classes it would be nice if you could generically convert enum fields automatically without having to create ad hoc asparameterconverters for each ,Improvement
improve state management of storyrunner we need to improve the state management of the storyrunner currently after every set of steps run the state is reset and the scenario before after steps are run separately from the normal steps causing wierd behaviours when there are failure in the before steps but not in the normal steps examples of such a behaviour are the trader failing before after story and failing before stories story a better and more intuitive state management should be in place keeping state in the run context the state should be reset by default before each scenario to ensure backward compat but will be shared between the before after steps and the normal steps we should also have the option to not reset it before each scenario to allow for failures in the beforestory stories steps to propagate to the scenario steps in the same run context once a failing state in a given run context the steps that follow will not be performed as customary with normal steps ,Improvement
failing scenarios are reported as successfull we noticed that methods annotated with afterscenario uponoutcome failure were not being triggered properly after a scenario failed upon further inspection we see that the failure is reported by the failing step it is then ignored by the after methods which report success the following scenario is run although it should be skipped the report at the bottom correctly states that the story failed sample output from of the trader examples running story org jbehave examples trader stories skip scenarios after failure story org jbehave examples trader stories skip scenarios after failure story before story scenario a scenario with failed step before scenario given i do nothing then i fail failed junit framework assertionfailederror i failed after any scenario after successful scenario scenario a scenario that is not executed because if followed a failed scenario before scenario given i do nothing after any scenario after successful scenario browser has been put to rest after story failed to run story org jbehave examples trader stories skip scenarios after failure story junit framework assertionfailederror i failed ,Bug
webdriverprovider takescreenshot should return a boolean to say if the screenshot has been taken as not all webdrivers support taking screenshots ie instances of takesscreenshot it 's useful for the takescreenshot method to return a boolean value to inform when the underlying webdriver supports screenshots ,Improvement
the option to leave a browser window open at the end of a run for perstorywebdriversteps and others it would be nice to obey and option command line or other to not close the browser frame on failure developers like to run single stories at a time and want to be able to debug when a failure happens a failing screen shot is thing but having the actual browser open is better still ,New Feature
 afterscenario should execute in reverse order to beforescenario consider webdriver situations where the order below is nearly always going to be the case new perstorieswebdriversteps new perstoriescontextview new webdriverscreenshotonfailure if we change from perstorieswebdriversteps to perscenariowebdriversteps then we have a problem perscenariowebdriversteps could conceivable drop the reference to webdriver after closing it and cause webdriverscreenshotonfailure to fail when it 's needing to leap into action the reproduction involved making steps fail and making the perstorieswebdriversteps to perscenariowebdriversteps change ,Bug
use of string toupper lowercase should be locale aware in turkish there are letters in order to symbolize english 's i they are i and i with dot lower case of i is i without dot and lower case of i with dot is i users from different nations may encounter with this kind of problems which come to surface when using string toupper lowercase the solution is to use string toupper lowercase locale while defaulting to locale getdefault if none specified string tolowercase is currently used in storyreporterbuilder formatnames boolean should use the locale specified in the localizedkeywords to retrieve the name lower case if not specified it defaults to locale getdefault underscoredcamelcaseresolver should provide a constructor to inject a non default locale string touppercase is currently used in propertywebdriverprovider should provide a protected method usinglocale which can be overridden use the desired locale ,Improvement
multi threading is not aware of runcontext givenstory multi threading is not aware of runcontext givenstory in case of a story with a givenstory it will throw failed to run story org jbehave examples trader stories trader sells all stocks story java lang runtimeexception delayed methods already invoked at org jbehave core reporters concurrentstoryreporter invokedelayed concurrentstoryreporter java the storyrunner should invoke the delayed methods according the givenstory flag of the runcontext ,Bug
add jbehave spring namespace support for easier configuration i have implemented an initial version it is a clone of master branch of jbehave project my implementation is on git github com maggandalf jbehave core git configuring embedder for working with spring shall be jbehave embedder id embedder jbehave classpathloader target classes jbehave classpathloader jbehave output txt jbehave output jbehave output html jbehave output jbehave output console jbehave output jbehave embedder ,New Feature
metafilters not properly read from the configuration the meta filters configuration of the maven mojo is not properly being read and passed as null to the embedder solution is use string in place of list string as generics are at times not properly handled in maven ,Bug
signal that next step is of different type consider code given something and something else then it happened or given something then it happened and when something public void something when something else public void somethingelse then it happened public void ithappened code i 'd like to be able to know in something whether the next step is of a different type or not code when something public void something named lastofsteptype boolean lastofsteptype code this is particularly useful for ui interactions webdriver etc given i am have a hat in the cart when i purchase with credit card and i specify an alternate delivery address then i should see a warning about different addresses i might want when i purchase with credit card as a standalone or with refining and clauses in the last of the when lines that 's pertinent i may execute the whole set when in this context feels like a continuation of sorts ,New Feature
examplestable and examplestablefactory should be interfaces to be able to use different formats for the examplestable the factory should be an interface the examplestable should also be an interface this way examples could be stored in xls or csv files by providing different factories ie in a story examples lotsofexamples xls,Improvement
allow to report stepdocs as embeddables currently we can report stepdocs by specifying the complete embedder instance fully configured and with candidatesteps another even more common use case is to want to report the stepdocs for the candidate steps that are defined for given embeddable instances such as junitstory or junitstories ,Improvement
specify a mvn repository for weld se i 've just tried to test the last release and i had to add a repository in my settings xml for dependendy dependency groupid org jboss weld se groupid artifactid weld se artifactid version final version dependency in pom xml of the module jbehave weld,Improvement
the sourcedirectory property of the jbehave maven plugin is read only in maven modifying the sourcedirectory and testsourcedirectory properties works as expected under maven but a error occurs under maven error can not override read only parameter sourcedirectory in goal jbehave run stories as paths upgrading to maven is currently not a option as this was discovered by a ci build running in hudson and it does not support maven as a project type ,Bug
screenshots for failing scenarios are taken but not correlated with the story html output hyperlink this could well be an issue in core around exceptions being thrown wrapped by uuidexceptionwrapper apply the attached patch to etsy it makes everything fail run regular build no saucelabs mvn clean install open navigator or reports page and click through to the html page for the failing story click the screenshot icon see that it s otherwise check the screenshots directory and observer that it has only screenshot instead of for each failed story ,Bug
support for weld context and dependency injection framework provide support for cdi context and dependency injection using the weld reference implementation,New Feature
add unoverridableembedder an extension of embedder that does not allow the override of the embedder methods specifically configuration and candidatesteps and forces the use of the modifier methods useconfiguration and usecandidatesteps ,Improvement
navigator view not generated in the case of a scenario step failing with no failures means target jbehave view navigator html generated with failures means target jbehave view navigator html generated is missing for some strange reason this is unlike reports html it is easy to reproduce comment out the hack fix override of run in etsystories also make of the steps fail before running the suite ,Bug
rename run with annotated embedder goal to run stories with annotated embedder the goal name is inconsistent with the other goal names for backward compat we can keep the previous goal name ,Improvement
givenstories should be able to be loaded relative to the story depending on them it should be possible to have given stories included relative to the story including them as this makes it easier to re organise the stories without changing the paths ,Improvement
table properties may override keywords i would like to specify table header and value separators in the table properties jbehave allows me to specify the header value separators for a story and i must use these values in all scenarios for the story it would be useful to specify a different separator just for a single scenario like you can do with the trim option for example valueseparator headerseparator the following email thread triggered this feature request ,New Feature
parametrised scenarios should use same mechanism as unparametrised instead of using a special construct for parametrised scenarios the same mechanism could be re used if the parametrisation work as a kind of macro ie before the step is parsed for example given my color mixing application when selecting color color and selecting color color then the resulting color should be result examples color color result red green yellow blue green cyan in this case i would implement the following in java given my color mixing application public void initapplication when selecting color color public void selectcolor string color then the resulting color should be result public void checkresult string result the point here is that i want only when alias which both works with and without parametrisation another benefit of this would be the possibility to parametrise which step is executed and not only the parameters altough i 'm not sure that this is a good idea it is certainly powerful for example given my color mixing application when operation color color and operation color color then the resulting color should be result examples operation operation color color result selecting adding red green yellow selecting selecting blue green cyan when adding color color public void addcolor string color using the ant style is just an idea to keep compability with the old behaviour but instead this new behaviour could replace the old with for parameters ,Improvement
hudson ca n't issue dmeta filter directives because of the spaces and quotes in the values side of the name value thing passed to d dmeta filter suite foo is going to cause hudson to try to redo the quotes like so dmeta filter suite foo the fix will be add underscore as a space replacement for meta filters dmeta filter suite foo,Bug
afterstories xml and beforestories xml being corrupt or length will break the hudson plugin afterstories xml can be bytes on occasion beforestories xml can have invalid xml on occasion ,Bug
firefox window not closing by default when failure occurs steps to reproduce for etsy corrupt cartcontents goovy line like so aim at an xpath like so findelement by xpath a rel ' removeeeeeeeeeee' click run the build note that there is a firefox window open at the end of the run this did not happen before the beta core and web releases ,Bug
test run with eclipse but no with maven i want to integrate jbehave with maven and have a lot of troubles i attach a sample with an example the story pass if i run as junit test in eclipse but when i try with maven fail is a classloader problem the exception is org springframework beans factory beandefinitionstoreexception ioexception pars ing xml document from class path resource applicationcontext xml nested excep tion is java io filenotfoundexception class path resource applicationcontext x ml can not be opened because it does not exist but to fix this i must pass all dependencies to the plugin i hope there is a solution to this thanks ,Bug
storymaps view could have more information refer column called author would be better titled has author for that column rather than ' x ' in the cells it would be better with the variance ' mauro ' in this case ,Improvement
if story is ' excluded ' because of meta filtering we need a way to totally exclude it such that there are not monitor or storyreporter calls for it i 'm opening browsers in saucelabs the closing them a few seconds later pointlessly ,New Feature
allow parameters to be specified as meta properties as suggested by paul parameters may be specified as meta properties noformat meta theme parameters scenario meta variant named given i have specified the theme and a variant then the theme is parameters with variant named noformat the named meta parameters would be matched by usual named mechanism also used in story or scenario parametrisation code given i have specified the theme public void givenihavespecifiedthetheme named theme string theme this theme theme code ,New Feature
maven goal run stories with annotated embedder runner does n't exist in the documentation reference a goal named run stories with annotated embedder runner that not exist fix with run with annotated embedder,Bug
examplestablefactory should load resources from classpath by default resources in classpath are much more common than url resources so it is more convenient to have loadfromclasspath as the default resourceloader ,Improvement
candidatesteps instances should be created by storyrunner context allowing for multi threaded stateful steps logic in multi threaded mode the steps instances need to be instantiated per thread a way to do this is to pass the injectablestepsfactory to the storyrunner run context and let the context instantiate the candidate steps per thread ,New Feature
failures in beforestories and afterstories steps cause npe beforestories and afterstories steps are not tied to any specific story the storyrunner reporter requires to be set to a conventional story path name e g beforestories and afterstories so the output of the failure messages can be captured and does not cause a npe ,Bug
provide pending annotation to mark methods that have not yet been implemented as suggested by jonathan woods a pending annotation can be used to mark not yet implemented methods either auto generated or not ,New Feature
null meta filters should be ignored in maven plugin when specifying the meta filters via the maven plugin null entries are sometimes passed in which should be ignored ,Improvement
failing steps could be assigned a unique failure context that could to a name screenshots and b be used in html reports this affects ' core ' and ' web ' say an element is not found in a webpage and webdriver throws whatever exception it needs presuming that fails a step then jbehave could set a failure context lets say that a guid later when the failingscreenshotthing picks up the fact that a step failed it could use the failure context in the name of the screen shot jpeg later in the rendering of the reports the html at least could link to the jpeg maybe instead of guid this could be the object identity of the stepresult or failed instance ,Improvement
steppattern to encapsulate both annotated and resolved patterns and report to the stepmonitor currently only the resolved regex pattern is reported to the stepmonitor e g stepmatchespattern string step boolean matches string pattern method method object stepsinstance where is step is matching steps were coded in english to make it easier for people to understand the resolved regex pattern is matching s steps s were s coded s in s s to s make s it s easier s for s people s to s understand it 's also useful to report the annotated pattern matching steps were coded in language to make it easier for people to understand a new steppattern model class should encapsultate both annotated and resolved patterns and the method should thus read stepmatchespattern string step boolean matches steppattern pattern method method object stepsinstance ,Improvement
provide paranamerconfiguration an instance of configuration that uses a cachingparanamer by default ,Improvement
maven jbehave plugin goal jbehave run stories as embeddables does n't found my junitstories test classes i 'm testing a web site with jbehave web selenium beta and i i 'd rather run my tests with jbehave maven plugin instead of running them with maven surefire plugin due to some issues of this last plugin with jbehave hudson plugin please see this issue for more information but jbehave maven plugin does n't recognize my junitstories test classes that seems to be always the case for plugin configurations given in jbehave issue please the attached file for maven plugins configuration details ,Bug
archetypes to boostrap creation of projects archetypes are a useful way to help projects bootstrap their testing setup maven natively supports the concept of archetypes which are templates used to generate new projects the archetype resources are velocity templates packaged as a jar maven provides a meta inf maven archetype descriptor xml but other tools can still use the archetype resources ,New Feature
booleanconverter and booleanlistconverter need to provide a booleanconverter and booleanlistconverter,Improvement
multithreaded story execution capability embeddercontrols usethreads int or equivalent annotation property controls the number of threads that will be used for the multi thread execution each story and all its scenarios will run in a single thread while multiple stories can run concurrently ,New Feature
test run with eclipse but no with maven i want to integrate jbehave with maven and have a lot of trouble i attach a sample with an example the story pass if i run as junit test in eclipse but when i try with maven fail is a classloader problem the exception is org springframework beans factory beandefinitionstoreexception ioexception pars ing xml document from class path resource applicationcontext xml nested excep tion is java io filenotfoundexception class path resource applicationcontext x ml can not be opened because it does not exist but to fix this i must pass all dependencies to the plugin i hope there is a solution to this thanks ,Bug
withrelativedirectory appears to be broken i 'm working in a non maven environment i attempted to set the output directory for reports as follows public static class myreportbuilder extends storyreporterbuilder public myreportbuilder super this withrelativedirectory build publish story reports this withformats console html xml upon running the junits i get the following org jbehave core reporters fileprintstreamfactory printstreamcreationfailed failed to create print stream for file home derek workspace smsmanagergit target build publish story reports beforestories html at org jbehave core reporters fileprintstreamfactory createprintstream fileprintstreamfactory java at org jbehave core reporters format createstoryreporter format java at org jbehave core reporters storyreporterbuilder reporterfor storyreporterbuilder java at org jbehave core reporters storyreporterbuilder build storyreporterbuilder java at org jbehave core configuration configuration storyreporter configuration java at org jbehave core embedder storyrunner runbeforeorafterstories storyrunner java at org jbehave core embedder embedder runstoriesaspaths embedder java at au com sensis wireless smsmanager integration bdd stories annotatedstoryembedder run annotatedstoryembedder java at sun reflect nativemethodaccessorimpl invoke native method at sun reflect nativemethodaccessorimpl invoke nativemethodaccessorimpl java at sun reflect delegatingmethodaccessorimpl invoke delegatingmethodaccessorimpl java at java lang reflect method invoke method java at org junit runners model frameworkmethod runreflectivecall frameworkmethod java at org junit internal runners model reflectivecallable run reflectivecallable java at org junit runners model frameworkmethod invokeexplosively frameworkmethod java at org junit internal runners statements invokemethod evaluate invokemethod java at org junit internal runners statements runbefores evaluate runbefores java at org junit internal runners statements runafters evaluate runafters java at org junit runners blockjunit classrunner runchild blockjunit classrunner java at org junit runners blockjunit classrunner runchild blockjunit classrunner java at org junit runners parentrunner runchildren parentrunner java at org junit runners parentrunner access parentrunner java at org junit runners parentrunner evaluate parentrunner java at org junit internal runners statements runbefores evaluate runbefores java at org junit internal runners statements runafters evaluate runafters java at org junit runners parentrunner run parentrunner java at org eclipse jdt internal junit runner junit testreference run junit testreference java at org eclipse jdt internal junit runner testexecution run testexecution java at org eclipse jdt internal junit runner remotetestrunner runtests remotetestrunner java at org eclipse jdt internal junit runner remotetestrunner runtests remotetestrunner java at org eclipse jdt internal junit runner remotetestrunner run remotetestrunner java at org eclipse jdt internal junit runner remotetestrunner main remotetestrunner java caused by java io filenotfoundexception home derek workspace smsmanagergit target build publish story reports beforestories html no such file or directory at java io fileoutputstream open native method at java io fileoutputstream init fileoutputstream java at org jbehave core reporters fileprintstreamfactory fileprintstream init fileprintstreamfactory java at org jbehave core reporters fileprintstreamfactory createprintstream fileprintstreamfactory java more commenting out the withrelativedirectory method and everything works just fine ,Bug
xml scenario reporter does n't always include a closing story xml tag when running the trader example the story org jbehave examples trader stories failure followed by given stories story generates an invalid xml file by not including a final closing story tag attached is the generated invalid xml file ,Bug
scenario with nested or recursive example table we have a ui functionality that repeats on many pages say it is a jspf component that is reusable with configurable variation but it is important to test this on all pages since the functionality is slightly different on each of these pages h how we have to code this today scenario food widget in home page given i am on home page when i enter food item in the menu field then i see related food items in the dropdown examples food item related food items pizza cheese chicken bacon fruit salad mangoes strawberry grapes rice brown white fried the exact same test will repeat on a different page like below scenario food widget in orderfood page given i am on orderfood page when i enter food item in the menu field then i see related food items in the dropdown examples food item related food items pizza cheese chicken bacon fruit salad mangoes strawberry grapes rice brown white fried h problem statement we want to run a particular scenario with ' examples ' over another parametrized value e g ' page ' here h proposed solution foreach meta tag at scenario level that has processing implications scenario meta foreach page home orderfood checkstatus cancelorder given i am on the page page when i enter food item in the menu field then i see related food items in the dropdown examples food item related food items pizza cheese chicken bacon fruit salad mangoes strawberry grapes rice brown white fried ,New Feature
ability to enqueue ad hoc stories asynchronously add method to embedder to allow to enqueue stories asynchronously allowing the exposure of the multi threading outside of the embedder methods such as runstoriesaspaths ,New Feature
methods annotated with afterstories are not called if a step is causing a runtimeexception the afterstory beforestory annotations works in this case so i would expect the same for the afterstories annotation here is the setup code code storypathresolver storypathresolver new underscoredcamelcaseresolver story class storyclass this getclass properties viewproperties new properties viewproperties put decoratenonhtml true url codelocation codelocations codelocationfromclass storyclass configuration configuration new mostusefulconfiguration usestorycontrols new storycontrols dodryrun false doskipscenariosafterfailure false usestoryloader new loadfromclasspath storyclass getclassloader usestoryreporterbuilder new storyreporterbuilder withcodelocation codelocation withdefaultformats withviewresources viewproperties withformats storyreporterbuilder format console storyreporterbuilder format txt storyreporterbuilder format html storyreporterbuilder format xml withfailuretrace true usestorypathresolver storypathresolver usestepmonitor new silentstepmonitor useconfiguration configuration configuredembedder embeddercontrols dogenerateviewafterstories true addsteps new instancestepsfactory configuration this new commonsteps new userprofilechecks new capconnectionwrapper new seleniumwrapper createcandidatesteps code ,Bug
output pending scenarios as well as broken when option to break build on pending is selected given i have chosen to break the build on pending scenarios given i have several scenarios some of which are pending when i run the build then i should see the pending scenarios in the output,New Feature
better support for web scenarios as a web developer qa i want to be able to integrate web testing frameworks such as selenium and webdriver we should probably provide a webscenario that developers can extend or perhaps it should be a decorator of a given scenario and make it easier to set up their web based behaviours ,New Feature
html based scenario reporting html based scenario reporting should generate reporter events in html format aggregate and render reports in html as well as other formats in a collective view for story results allow styling via css of all rendered reports,New Feature
allow steps dependencies to be composable via picocontainer in acceptance integration tests is often common to have a lightweight container pico spring guice etc to configure the tests with a container supported steps instance should be composable either via constructor or setter dependency injection with components configured in the container each container support will be contained in a separate optional module we start with pico support with other containers to follow ,New Feature
candidate step should support generic parameter conversion it is quite common to have step parameters which are csv of strings or numbers the candidate step should support them as it does with strings and numbers more in general it should generic and injectable parameter converters that allow users to convert objects from a string representations that make sense in the scenario domain ,Improvement
can not find the persistence xml file running the sceanario from either eclipse or intellij the persistence createentitymanagerfactory party test finds the persistence xml file just fine and everything works however running it via the maven plugin and it ca n't find the file at all i suspect this is a classpath issue since the persistence xml file is in a meta inf directory and not in the normal classpath i could be wrong though ,Bug
support loading of stories from odt format as a ba i want to be able to write my story in a odt format,New Feature
support comments in plain text scenarios it would be nice to have the ability to add comments in the plain test scenarios if we add any comments the parser thinks they are the continuation of the previous line to have comment support so that all lines preceded by or or whatever get ignored that would be a nice feature ,New Feature
ensure utility methods should be independent of unit testing framework refactor ensure method to only depend on hamcrest and not on the unit testing framework assertions can be done using hamcrest 's matcherassert ,Improvement
scenario keyword should include any separation char e g atm the pattern parser assumes that the keyword scenario is followed by a it is better that any separation char to be part of the keyword configured in keywords scenario so it can be configured and is not hardcorded in the pattern parser ,Improvement
support multiple test frameworks currently we support junit x as the test framework to run scenarios via the test annotation we could easily extend support to multiple frameworks including junit and testng the cleanest approach would be to rename abstract scenario to junitscenario and pull up a scenario interface since junit x jar includes the classes support for junit would simply require extending testcase and having a run method that starts with test ,Improvement
should not require a space before a new line currently i have a space after the ' when ' line in multiline steps eg given a grid that looks like there 's a space after this line should be able to work without the space ,Bug
issue dddd,Bug
incorrect uploaded filename on windows ie uploading an archive with ie fails because the uploaded file name contains the full path this is due to the different behaviour to commons upload fileitem depending on the browser the uploaded file name needs to be stripped of any path prefix if present ,Bug
should be able to have multiple scenarios in a story should be able to detect multiple scenarios in a story file split on the first given ,New Feature
auto generate method stubs for pending steps with no parameters auto generate method stubs with no parameters the steps such as given there is a flight and there is a customer when the customer books the flight then the customer is shown on the manifest would generate java methods like this given there is a flight pending public void giventhereisaflight given there is a customer note ' given ' even though story line is ' and ' pending public void giventhereisacustomer when the customer books the flight pending public void whenthecustomerbookstheflight then the customer is shown on the flight manifest pending public void thenthecustomerisshownontheflightmanifest if pending annotated methods are already matched the methods should not be re generated ,Improvement
i n keywords as proposed by emerson macedo on dev list it would be useful to have keywords for different languages pre configured an i nkeywords that reads keywords from i n resource bundles for different locales should do the trick we can provide i n bundles for the most common locales in our core jar very small overhead in terms of size and users can add or override them as needed the localisation should be done when instantiating the keywords class so it only happens once ,Improvement
need really great javadoc for all injectable configurable classes thanks to michael for pointing this out,Improvement
only output broken scenarios given i have many scenarios some of which are broken given i choose not to output working scenarios when i run the build then i should only see the output from broken scenarios,New Feature
allow browsing content of uploaded archive at the moment only the presence of the uploaded archive file is displayed in the data files view it would be useful to browse the content of an uploaded archive this would also allow user to verify if the unzipping unarchiving has been successful ,New Feature
