"summary","type"
"@BeforeScenario executed after lifecycle ""Before"" step in 4.1 We've noticed a change in the order things are executed. In 3.9.5 {{@BeforeScenario}} was executed before lifecycle steps defined in the ""Before"" section of the {{*.story}} file. In 4.1 {{@BeforeScenario}} is performed _after_ the lifecycle step .

This is output from a demo using jBehave 4.1:
{quote}
###> Performing @BeforeStories DemoASteps
###> Performing @BeforeStory DemoASteps
###> lifecycle step that is executed before scenario in DemoA
###> Performing @BeforeScenario DemoASteps
###> given step that is executed inside demoA scenario 1
###> a step that is executed inside demoA scenario 1
###> an outcome checked inside demoA scenario 1
###> lifecycle step that is executed after each scenario regardless of outcome in demoA
###> lifecycle step that is executed after each successful scenario in demoA
###> Performing @AfterScenario DemoASteps
###> Performing @AfterStory DemoASteps
###> Performing @AfterStories DemoASteps
{quote}

We believe this to be in error. The symmetry of ""annotation surrounding lifecycle"" is lost. You end up doing extra ""Before"" steps, since you can't rely on your class being reset in {{@BeforeScenario}}.

If the change is intentional, please elaborate on the reason for the change.

Attached are the files used (no complete project, sorry). You can easily reproduce the behaviour by adding printouts in the methods of your own favourite project,","non-feature containing"
"@BeforeScenario failures prevent the story reporting to complete Failures in @BeforeScenario methods should be treated as normal step failures and allow the scenario to run (while not performing the steps) and to complete the story reporting. 

This also allows the stats to be collected and reported.","non-feature containing"
"@BeforeScenario not called one per 'Examples' permutation. Could @BeforeScenario be enhanced: 

@BeforeScenario(BEFORE_EXAMPLES_PERMUTATIONS_TOO) 

or could we have a new annotation: 

@BeforeExamples 

There is some feeling that this used to work in JB 3.0. Refer bug.zip attached 

- Paul on behalf of Bill","non-feature containing"
"@BeforeScenario runs for every steps file that are instanciated When i run my scenario that are using multiple steps files, the method that are annotated with @BeforeScenario runs for each steps file. 

Im excpecting it to only run per scenario not per steps file","non-feature containing"
"@BeforeStory steps not performed before GivenStories There seems to be a bug in 4.0-beta-8 concerning the usage of GivenStories. 

If I have a story which uses ""GivenStories"" then I get this exception: 

{noformat} 
org.jbehave.web.selenium.DelegatingWebDriverProvider$DelegateWebDriverNotFound: WebDriver has not been found for this thread. 
Please verify you are using the correct WebDriverProvider, with the appropriate credentials if using remote access, e.g. to SauceLabs: -DSAUCE_USERNAME=xxxxxx -DSAUCE_ACCESS_KEY=xxx-xxxx-xxxx-xxxx-xxx 
at org.jbehave.web.selenium.DelegatingWebDriverProvider.get(DelegatingWebDriverProvider.java:24) 
at example.pages.PageObject.getDriver(PageObject.java:30) 
at example.pages.LoginPage.isLoggedIn(LoginPage.java:15) 
at example.steps.LoginSteps.userLoggedIn(LoginSteps.java:15) 
{noformat} 

If I use JBehave 3.9.3 then it works as expected. 

You can reproduce it with this example: https://github.com/OttoDiesel/jbehave-selenium-example.git 

In class ""example/SeleniumStories.java"" change story filter to: 
String includes = System.getProperty(""story.filter"", ""**/Stammdaten-Mutation.story""); 

It would be nice if you could fix it this week since this is the example for the second part of the paper on JBehave. :)","non-feature containing"
"@Composite step is executing ""successfully"" when one of its sub-steps is Pending. We believe that these should behave in the same manner as other pending steps; the pending step should be marked in the output and subsequent steps should not be performed.","non-feature containing"
"@Given, @When and @Then could make the pattern optional ... in that case the Java method that it pertains to could provide the matching expression: 

{code} 

@Given 
public void aUserWithALargeBankBalance { .. } 

{code} 

would be equiv to 

{code} 
@Given(""a user with a large bank balance"") 
public void aUserWithALargeBankBalance { .. } 
{code} 

or maybe we could endorse Ruby naming conventions for extra capitalization clarity: 

{code} 
@Given 
public void a_user_with_a_large_bank_balance { .. } 
{code} 

Obviously this is no good for cases where there are parameters. Though that could be solved too later, with yet more work. 

Guilherme Silveira's idea :)","feature containing"
"@Ignore annotation ignored The JBehave runner ignores the @Ignore annotation. 

i.e. It actually runs TestCase(s) marked with @Ignore.","non-feature containing"
"@Named annotation doesn't work in scenario when Examples table and MetaInfo is used Please take a look at below scenario. 
Meta: 
@supported_type A,B,C 
Given message with supported type 
When received with <field> field 
Then message is stored 
Examples: 
|field | 
|action| 

@Named annotation doesn't work when I want to inject @supported_type and also 'field' example value for this scenario. 
I guess problem is in StoryRunner class (lines 254-260). Memthod addMetaParameters is not called when scenario is parametrized. 
Can we invoke this method also for parametrized scenarios?","non-feature containing"
"@Named not respecting parameter order @Named doesn't seem to do its job, and parameter ordering in the method declaration seems to confuse the assignment code. For instance: 

""Given a $var1 with $var2 and $var3"" 

void testVars(@Named(""var3"") String var3, @Named(""var1"") String var1, @Named(""var2"") String var2) 

When executing testVars, it assigns var3=$var3, var1=$var1, but var2=$var3 

Clearly, the correct assignment is var2=$var2","non-feature containing"
"@Retry Annotation InternetExplorer-WebDriver is a pretty flaky target for jbehave-web. 

If we had a @Retry(upto-n-times) annotation, then we might be able to flakiness. It seems to use the the step is the canonical place to express a retry. 

If the retry works, the previous failures are consumed, and not reported. Instead, its reflected in the stats for the job/story/scenario.","feature containing"
"A tree-based story runner that separates creation of performable steps from execution In 3.x the StoryRunner creates and executes the steps for each story and scenario while keeping state. 

We want to separate the creation of performable steps from their execution and build a tree of performable objects. The state should not be held any more as a member variable but in a shared run context. 

The result of execution of the performable tree should be serialisable and consumable by any reporting/UI layer independent of the StoryReporters.","feature containing"
"A unique syntax for steps parameters, suitable for scenarios both with and without example table From http://jbehave.org/reference/stable/parametrised-scenarios.html: 
{quote} 
It is also important to note that the same (@Named-annotated) methods can match steps that are executed both as standalone or via examples table, provided that both regex patterns are configured, one as the main pattern and one as an alias: 

@Given(""a stock of symbol $symbol and a threshold of $threshold"") // standalone 
@Alias(""a stock of <symbol> and a <threshold>"") // examples table 
public void aStock(@Named(""symbol"") String symbol, @Named(""threshold"") double threshold) { 
{quote} 

From a user perspective, it is a non-sense to me. 

1. Those aliases do not provide any business value. 

2. They make for duplication for free. 

3. Bad user experience. That is forcing the user to write an alias just for JBehave to be able to handle both an example table and a standalone parametrized step. A user should not need to bother about the differences. The system should bother for him/her instead, by hiding the differences. 

What I'm suggesting here is to have a *unique syntax* for parameters, based on '$' (as definitely the most suitable for variables), to work with steps both with and without an example table. 

Therefore, with the following step method 
{code} 
@Given(""a stock of symbol $symbol and a threshold of $threshold"") 
public void aStock(@Named(""symbol"") String symbol, @Named(""threshold"") double threshold) { 
{code} 

..users would be able to write the following two scenarios: 
{code} 
Scenario: with examples 
Given a stock of symbol $symbol and a threshold of $threshold 
.... 
Examples: 
|symbol|threshold| 
|GOOG|590| 
|YHOO|50| 

Scenario: without examples 
Given a stock of symbol GOOG and a threshold of 3 
... 
{code} 

Now, I'm not sure about the implementation, though, whether it could be a simple change or require intensive re-write. 
I've tried to have a look at the code (StoryRunner) but I found it quite hard to follow. 
What do you think? 

Thank you","feature containing"
"ANSI-coded console output As contributed by Adriano Bonat: 

https://github.com/tanob/jbehave-core/commit/1de6908065a085621c4b9576b589d7e005aee606","feature containing"
"Ability to enqueue ad-hoc stories asynchronously. Add method to Embedder to allow to enqueue stories asynchronously, allowing the exposure of the multi-threading outside of the embedder methods such as runStoriesAsPaths().","feature containing"
"Ability to have comments in scenarios Ability to have comments in scenarios, not before. Between sceneario steps.","feature containing"
"Abstract scenarios should not be executed Automatically exclude scenario classes that are abstract.","feature containing"
"Add ""Flaky"" status to test results Problem is described here https://groups.google.com/forum/#!topic/jbehave-user/gs0ro9txURM","feature containing"
"Add @BeforeStories/@AfterStories annotations It is sometimes useful to invoke setup/teardown methods only once before and after a collection of stories, e.g. to setup and teardown an external service. 

The annotations @Before/AfterStories would complement annotations @Before/AfterStory, run before and after each story, and @Before/AfterScenario, run before and after each scenario.","feature containing"
"Add @BeforeStory and @AfterStory annotations in candidate steps As requested on user list, there are usecases when setup/tear down steps are required at story level (i.e. for multiple scenarios) and not at single scenario level (dealt by @BeforeScenario/@AfterScenario annotations).

Equivalent story-level annotations @BeforeStory/@AfterStory would address these usecases.","feature containing"
"Add AncestorDelegatingResolver A StoryNameResolver that iterates through a configurable number of path ancestors and applies for each the specified delegate resolver (defaulting to UnderscoredToCapitalized).


  ","feature containing"
"Add Ant task integration Add Ant integration layer to run scenarios via Ant tasks.","feature containing"
"Add CGLIB support to JMock extension Create a new class called UsingJMockWithCGLIB that extends UsingJMock, but overrides the Mock inner class to construct CGLIB-based mocks.","feature containing"
"Add CrossReference report As contributed by the Dallas ""GeekNight"" folks, a xref JSON and XML data report that can be consumed by different views.","feature containing"
"Add Enum converters to default ParameterConverters EnumConverter and EnumListConverter should be added to the default converters provided by ParameterConverters","feature containing"
"Add FluentEnumConverter, able to convert lower-cased, space-separated values to Enums Copying&pasting from the javadoc: 

An EnumConverter allowing stories prose to be more natural. Before performing the actual conversion, it transforms values to upper-case, with any non-alphanumeric character replaced by an underscore ('_'). 

Example: assuming we have defined the step ""Given I am on the $page"" which is mapped to the method iAmOnPage(PageEnum page), we can then write in a scenario: 

Given I am on the login page 

instead of: 

Given I am on the LOGIN_PAGE 

Warning. This requires enum constants to follow the standard conventions for constant names, i.e. all uppercase letters, with words separated by underscores.","feature containing"
"Add Groovy support Starting from Adriano Bonat's contribution via GitHub (http://github.com/tanob/jbehave-core), add a jbehave-groovy module with extensions of core for Groovy-specific support, similarly to IOC framework extensions (Guice, Pico, Spring). 

Initially, it will contain a GroovyStepsFactory to create steps instances from Groovy scripts. 

It should also provide support for @UsingGroovy annotation, to specify the GroovyClassLoader and the GroovyResourceFinder.","feature containing"
"Add JBehave Spring Namespace support for easier configuration I have implemented an initial version, it is a clone of master branch of jbehave project. My implementation is on git@github.com:maggandalf/jbehave-core.git 

Configuring Embedder for working with Spring shall be: 

<jbehave:embedder id=""embedder""> 

<jbehave:classpathLoader>target/classes</jbehave:classpathLoader> 

<jbehave:output>TXT</jbehave:output> 

<jbehave:output>HTML</jbehave:output> 

<jbehave:output>CONSOLE</jbehave:output> 

</jbehave:embedder>","feature containing"
"Add Jenkins support As Jenkins and Hudson have started to diverge, it's useful to have separate plugins that can track different versions of the tools.","feature containing"
"Add JiraMetaMatcher A MetaMatcher that looks up a JIRA issue via REST and allows the meta if the issue is open.","feature containing"
"Add Json output format Json format is quite popular today. It would be nice to have default Json output format","feature containing"
"Add Lifecycle Scope Currently, lifecycle steps are implicitly meant to be executed before and after each scenario. 

Adding a new lifecycle scope would allow to support the execution of before/after steps both at scenario and story level.  

Syntax: 

Lifecycle:
Scope:  STORY|SCENARIO
Before: 
...
After:
...
","feature containing"
"Add Maven web archetypes Add archetypes using jbehave-web-selenium.","feature containing"
"Add Mocking support I think Damien has started on this, but I thought I'd formalise a request for mocking support. As far as something like JMock goes, all we really need to do is provide a Mock base class. We could take this a step further and provide mock injection (which Stacy does using PicoUnit), for example if you create a method like this:

public void shouldDoSomething(Employee employee)

Then employee could be a mock. If we assume the Mock is a JMock mock, you'd have to cast it back to Mock to define expectations. And what about other mock tools? Anyway, the base class would be enough for now.","feature containing"
"Add Narrative elements to Story parsing The current domain model captures everything before the first Scenario as unstructured text (hence the name Blurb in the domain module). Hence not an issue in a plain text report (newlines are maintained) but becomes less readable in, say, HTML.

We should add an optional Narrative element with appropriate keywords, so as to be able to distinguish between the various elements of the narrative (""In order to"", ""As a"", ""I want to"").","feature containing"
"Add ParameterConverter for ExamplesTable To facilitate parsing of table parameters with tabular structure, it's useful to have a parameter converter that takes multi-line input and converts it to a ExamplesTable. This then allows users to match step such as:

Given the traders: 
|name|rank|
|Larry|Stooge 3|
|Moe|Stooge 1|
|Curly|Stooge 2|

using a method with ExamplesTable parameter:

@Given(""the traders: %tradersTable"")
public void theTraders(ExamplesTable tradersTable) {
// use traders table to extract required data
}","feature containing"
"Add SauceLabs ContextView Should use the WebDriver JavascriptExecutor nature to send current scenario context.","feature containing"
"Add Scala support Add support to allow steps to be written in Scala","feature containing"
"Add ScenarioType.ANY to allow @Before/AfterScenario to run before/after any scenario Before/AfterScenario has parameter uponType that determines when it will run. NORMAL type is run once for all the scenario cases; EXAMPLE type is run for each scenario case. 

I am using the term ""scenario case"" for each row of the examples table (in case of parametrised scenarios) or the scenario itself (in case of ""normal"" scenarios). 

When you want to define e.g. Before Scenario step, that will run before every scenario case, regardless whether it is parametrised or not, you must do something like this: 

{code:java} 
// before scenario will be called 2x for the first scenario case 
private boolean initialized; 

@BeforeScenario 
public void beforeScenario() { 
if (!initialized) { 
// do some stuff 
initialized = true; 
} 
} 

@BeforeScenario(uponType = ScenarioType.EXAMPLE) 
public void beforeExample() { 
beforeScenario(); 
} 
{code} 

This is annoying and should be fixed. There are some ways how to fix it I can think of: 
* simple: Add another value to ScenarioType enum (e.g. ANY). But in this case, the name of the enum starts to feel bad. 
* more work: Add annotation, e.g. @BeforeScenarioCase 

What do you think is better? Am I missing something? Propose a solution and I can submit a patch.","feature containing"
"Add Selenium StepsConfiguration and StepMonitor Add a Selenium extension of StepsConfiguration that uses a SeleniumStepsMonitor, allowing to decorate a given StepsMonitor to provide link to current scenario in Selenium context on performing step:

public void performing(String step){
String context = seleniumContext.getCurrentScenario() + ""<br>"" + step;
selenium.setContext(context);
delegate.performing(step);
}","feature containing"
"Add Selenium/WebDriverSteps to capture/save screenshot upon failing scenario Add instances of Selenium/WebDriverSteps to capture/save screenshot upon scenario failure. 

The different names reflects the difference in the Selenium and WebDriver APIs.","feature containing"
"Add Spanish language to eclipse plugin Spanish language was included in a 3.9 core beta release, but is there a way to include this language to eclipse plugin?","feature containing"
"Add StepFinder In order to avoid duplication of steps 
As a story writer 
I want to find all candidate steps (i.e. methods) that match a particular textual step and 
report them as Stepdocs.","feature containing"
"Add Story Mapping with Swimlane view In order to get visibility of themes/epics 
As a release planner 
I want to be able to map stories by meta filters 

Using story maps allows us to group stories of cross-cutting concerns, using filters on meta info (JBEHAVE-220). 

A swimlane view (with one lane per filter) would allow a clear and concise view.","feature containing"
"Add UnoverridableEmbedder An extension of Embedder that does not allow the override of the Embedder methods, specifically configuration() and candidateSteps(), and forces the use of the modifier methods useConfiguration() and useCandidateSteps().","feature containing"
"Add XML templateable output Provide an XML template (similar to ftl/jbehave-html-output.ftl) which can be easily customised.","feature containing"
"Add a StoryReporter method before starting each individual example I would like to write a StoryReporter that graphs the run time of each scenario in rrd, e.g. run a use case after login and show how the reponse time varies over time. This should work well with the beforeScenario/afterScenario methods, if the scenarios are executed one (i.e. do not use an examples table). 
If a scenario however uses an example table, the individual before/after events are not reported, so the only way to do this is to count the success/failure calls, which looks kind of error-prone to me. 

Can we add a beforeExampleScenario method to the StoryReporter ?","feature containing"
"Add a beforeStep() method in the StoryReporter There should be a beforeStep() method in the StoryReporter to allow users to implement there own code before each step starts. The existing successful(), failed() etc behave like an afterStep() method already.","feature containing"
"Add an optional StoryFinder class element to @UsingPaths annotation Currently @UsingPaths is using one fixed instance of StoryFinder class. 
In order to use a custom StoryFinder class with the annotation, I would like to include an optional storyFinder element in the @UsingPaths annotation.","feature containing"
"Add automatic generation of OSGi manifest for jbehave-web In order to be able to load jbehave-web into an OSGi container.","feature containing"
"Add configurable sorting strategies for stories in reports Allow stories to be sorted by different configurable strategies: 

- alphabetical 
- by success/failure criteria 
- by number of scenarios or steps","feature containing"
"Add context view mechanism with JFrame window to show current execution There is a SeleniumStepMonitor in jbehave-web which shows live the steps which are performed in a small Swing window which can be positioned anywhere on the screen while stories are executed. It displays the current scenario and the step name. 

I tried to have such a step monitor in another use case: testing a rich client with JBehave and IBM Rational Functional Tester. It would be nice if I could use that monitoring window for this use case too. But SeleniumStepMonitor is only meant for Selenium. 

But I think it could be moved to core so that it can be used when automating any GUI, with or without Selenium. I mean a general purpose ""GuiStepMonitor"" or something like this. So it could be used even if I don't use Selenium.","feature containing"
"Add dependencies to core POM Declare dependencies in core POM. These will all be declared as provided as none are mandatory.","feature containing"
"Add failed step as UUIDExceptionWrapper message To facilitate debugging, it may be useful to have in the exception message the step that failed.","feature containing"
"Add formatting table transformer A TableTransformer that formats the table according to the max width of each column.","feature containing"
"Add generate-story-code goal Add mojo to run generate-story-code goal from a given story using a configurable CodeGenerator implementaion.","feature containing"
"Add getter/setter for FilePathResolver in SpringStoryReporterBuilder As noted by Pete Suggitt, the getter/setter for FilePathResolver is missing from SpringStoryReporterBuilder.","feature containing"
"Add i18n keywords for story cancellation and duration Since JBEHAVE-563, story cancellations are reported. Introduce new keywords to describe story cancellation and duration.","feature containing"
"Add i18n to gherkin support The i18n example uses the RegexStoryParser(Keywords keywords) constructor but for GherkinStoryParser i18n doesn't seem to be supported. 

Could you add a GherkinStoryParser (Keywords keywords) constructor + example + documentation for Gherkin stories not written in English? 

Natural language is a core feature of BDD and we'd like to use the emerging Gherkin standad for story styntax.","feature containing"
"Add inherit* property for array-valued annotation property to control inheritance behaviour As explained in JBEHAVE-327, it's useful to control inheritance behaviour. 

By default inheritance behaviour is true, meaning AnnotationFinder goes up the inheritance tree and collects array values for a given annotation property. 

This inheritance behaviour can be inhibited by setting the property 

inherit<propertyName>=false","feature containing"
"Add meta tag support to Gherkin story parser Currently GherkinStoryParser does not support meta info. 
Gherkin provides support for tags which should be interpreted as no-value meta properties and can be used to filter, e.g. @skip tag.","feature containing"
"Add method and steps instance information to matching events in StepsMonitor In order to help identify in which steps class a matched method is contained 
As a developer 
I want to have method and steps instance information available","feature containing"
"Add monitoring to ArchivingFileManager A pluggable FileMonitor interface with PrintStream-based and silent impls to allow monitoring of runtime events.","feature containing"
"Add name resolving strategy for REST resources Some REST providers are not case-insensitive, thus requiring a name resolving strategy to handle the resource name. 

Provide a mechanism to resolve the name, defaulting to a strategy to convert to lower case.","feature containing"
"Add replacing table transformer A table transformer that will replace all values according to a regex","feature containing"
"Add root package to story details Add root package to story details, which can be parsed and used to generate code from story text file.","feature containing"
"Add scenario-specific filters as anchors of GivenStories paths As a story writer, I find that rather often one scenario depends on another in its Given clause. 

So I would like to use something like this 

{code} 
GivenStories: path/to/story#{id:scenarioId} 
{code} 

where ""id"" is the meta tag of the scenario 

{code} 
Scenario: 

Meta: @id scenarioId 
{code}","feature containing"
"Add spanish language support Hi, 
I downloaded the plugin which integrates jbehave and eclipse, and I noted the language (spanish) we use for scenarios is not included in the plugin. So It doesn't recognize jbehave keywords. Is There any way to include this language to the supported ones?","feature containing"
"Add specInstance param to listener.criteriaVerificationStarting We should provide a way for JMock and other extensions to call methods on a specInstance before setup. This will allow extensions to use dependency injection. In JMocks instance, a Spec could define a dependency on a JMock by doing something like:

class SomeSpec {
Mocker mocker;

public void iWantToUseMocks(Mocker mocker) {
this.mocker = mocker;
}

...
}

The spec can then use mocker to create mocks, set expectations and do auto verification.","feature containing"
"Add standalone cross-reference navigator Importing Paul's Story Navigator as a standalone HTML/JS application that allows the navigation of the cross-reference report output.","feature containing"
"Add start and end time to each step in cross reference In cross reference file, one cannot see the start and end times of stories, scenarios or steps. This can be quite handy when one wants to cross reference the tests execution with another system.","feature containing"
"Add story timing info to CrossReference Add timing fields 'started' and 'duration' (milliseconds)","feature containing"
"Add support for BigDecimal and BigInteger parameters Posted by Gerard Meszaros on wiki: 

We had trouble using numbers with decimal points in our specs because we were dealing with money. We tried declaring parameters as BigDecimal but could not get this to work. It should be possible to do this out of the box with no extra effort as it is a pretty common need.

BigInteger should also be supported.","feature containing"
"Add support for PhantomJS to PropertyWebDriverProvider As contributed in https://github.com/jbehave/jbehave-web/pull/9","feature containing"
"Add support for Russian locale Add support for Russian locale.
Add i18n/keywords_ru.properties with Russian keywords map","feature containing"
"Add support for Simplified Chinese locale Add support for Simplified Chinese locale.
Add i18n/keywords_zh_CN.properties with zh_CN keywords map","feature containing"
"Add support for TeamCity build script interaction Provide support for TeamCity via the build script interaction: 

https://confluence.jetbrains.com/display/TCD9/Build+Script+Interaction+with+TeamCity

TeamCity will interpret JBehave scenarios as tests, providing the pass/fail status and the timing for each test.
","feature containing"
"Add support for WebDriver API Add support for the WebDriver API, new feature of Selenium 2.0. 
The support for the WebDriver API will complement the support for the Selenium API, featured in both Selenium 1.0 and 2.0.","feature containing"
"Add support for XWiki as REST provider Support XWiki as REST provider","feature containing"
"Add support for annotated steps before and after example scenarios It would be nice to have annotations (or any other way) to run some methods before and after each example.","feature containing"
"Add support for meta filtering in story running Upgrade to 3.1 as default Core dependency. 

Support specification of meta filters in the Run Story page. 

If meta filters not set, it should use the 3.0.x compatible StoryRunner method, so users are not forced to upgrade to 3.1, until they need to. 

That meta filtering is a 3.1 only features should also be notified on the Run Story page.","feature containing"
"Add support for scenario before/after lifecycle in story syntax Add lifecycle story syntax to allow before/after scenario steps to be executed. 

{code} 
Lifecycle: 
Before: 
Given a setup step 
After: 
Then a teardown step 
{code}","feature containing"
"Add table formatting Add table formatting command Ctlr-F (or Cmd-F) for selected text. 

Formatting should also convert tabs (as exported e.g. from a spreadsheet) to table separators.","feature containing"
"Add time duration to story statistics and reports view Add story time duration in ms","feature containing"
"Add timings to serialisable data of PerformableStory See attached test case to reproduce","feature containing"
"Add to StoryFinder method to find paths by URL code location and single include/exclude patterns A very common use case is to look up paths using a URL code location. 

Moreover the single include/exclude pattern is also by far the most used.","feature containing"
"Add unpack-view-resources goal to Maven Plugin A goal to unpack the resources to the view directory. The main advantage over the maven dependency plugin is the ability to derived the view directory location from the configured StoryReporterBuilder accessible via the Embedder. 

The resources are configured as normal project artifacts and can be filtered based on the resource dependency type and artifactIds, via properties resourceType and resourceArtifacIds 
(which default to ""zip"" and {""jbehave-core"", ""jbehave-site-resources""}). 

Resource content can optionally be filtered based on the resourceIncludes/Excludes properties.","feature containing"
"Add/rename examples events in ScenarioReporter As highlighted by the HTML reporting, the examples events reported by the ScenarioReporter should become:

- examplesTable(ExamplesTable) -> beforeExamples(ExamplesTable)
- examplesTableRow(Map<String,String>) -> example(Map<String,String>)
- afterExamples() -> new event

Renamed events have been deprecated and functionally delegate to new events.","feature containing"
